epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7093,4.3047,5.57581,4.05539,0.00067,0.05252,0.00036,0.00012,4.17589,4.52843,3.7818,0.0701676,0.00331471,0.00331471
2,119.715,3.61298,4.37644,3.31372,0.56196,0.0589,0.02616,0.00625,3.37202,5.91271,2.9764,0.0401544,0.00663488,0.00663488
3,176.995,3.09207,3.49645,2.77436,0.10474,0.16259,0.03603,0.00978,3.08652,4.10787,2.67528,0.0101281,0.00994185,0.00994185
4,234.38,2.81155,3.05654,2.39483,0.19961,0.25292,0.12486,0.03936,2.6334,4.66918,2.20943,0.0099406,0.0099406,0.0099406
5,291.707,2.49932,2.67112,2.07323,0.33859,0.31155,0.24998,0.08565,2.41398,2.70427,1.97006,0.0099406,0.0099406,0.0099406
6,348.846,2.34826,2.42425,1.91512,0.42541,0.38267,0.35768,0.13695,2.24838,2.26865,1.87357,0.0099208,0.0099208,0.0099208
7,406.194,2.2366,2.25018,1.79792,0.44643,0.34463,0.31567,0.1207,2.28424,2.28995,1.87816,0.009901,0.009901,0.009901
8,463.426,2.18079,2.16604,1.74742,0.54087,0.46116,0.43891,0.18366,2.10192,2.27256,1.73808,0.0098812,0.0098812,0.0098812
9,521.382,2.13073,2.07905,1.69863,0.61849,0.40399,0.46007,0.19099,2.05146,2.01111,1.69823,0.0098614,0.0098614,0.0098614
10,578.937,2.07937,1.98565,1.65875,0.52524,0.48316,0.44771,0.18325,2.02875,1.99143,1.68838,0.0098416,0.0098416,0.0098416
11,636.156,2.06457,1.97282,1.64759,0.55154,0.48996,0.47527,0.20762,1.96795,2.02682,1.61981,0.0098218,0.0098218,0.0098218
12,693.363,2.01965,1.88387,1.60917,0.61603,0.5243,0.54282,0.24275,1.92542,1.92904,1.58607,0.009802,0.009802,0.009802
13,750.609,2.00152,1.86372,1.59672,0.55684,0.47191,0.47694,0.2017,2.01203,1.9767,1.62546,0.0097822,0.0097822,0.0097822
14,807.575,1.98124,1.83417,1.57975,0.58228,0.53843,0.52578,0.22701,1.89476,1.76646,1.56755,0.0097624,0.0097624,0.0097624
15,864.471,1.97333,1.79417,1.56277,0.62311,0.53796,0.55832,0.2429,1.94387,1.76232,1.57824,0.0097426,0.0097426,0.0097426
16,921.683,1.96297,1.77467,1.56265,0.63707,0.54715,0.57836,0.26234,1.88102,1.79131,1.54686,0.0097228,0.0097228,0.0097228
17,979.245,1.9152,1.73608,1.53945,0.6337,0.56222,0.58568,0.27892,1.84343,1.73306,1.53041,0.009703,0.009703,0.009703
18,1036.62,1.91921,1.71994,1.53026,0.66041,0.54953,0.60673,0.28433,1.86265,1.65779,1.52065,0.0096832,0.0096832,0.0096832
19,1094.1,1.91361,1.691,1.51864,0.70103,0.54862,0.60225,0.29318,1.84351,1.66371,1.53114,0.0096634,0.0096634,0.0096634
20,1151.05,1.89611,1.65078,1.51147,0.67601,0.5457,0.60463,0.29007,1.83344,1.61859,1.51665,0.0096436,0.0096436,0.0096436
21,1208.25,1.89401,1.63831,1.49917,0.65933,0.59997,0.63251,0.30238,1.83724,1.57021,1.508,0.0096238,0.0096238,0.0096238
22,1265.22,1.88014,1.64632,1.50266,0.67899,0.56576,0.62229,0.29684,1.85246,1.57173,1.5186,0.009604,0.009604,0.009604
23,1322.47,1.87057,1.61152,1.49176,0.68691,0.59482,0.63376,0.30952,1.79869,1.54541,1.4806,0.0095842,0.0095842,0.0095842
24,1379.41,1.86125,1.60666,1.48771,0.70717,0.596,0.64797,0.32046,1.78094,1.48352,1.44903,0.0095644,0.0095644,0.0095644
25,1436.69,1.86184,1.59466,1.48377,0.70098,0.58094,0.63762,0.31579,1.80224,1.5969,1.48088,0.0095446,0.0095446,0.0095446
26,1493.64,1.8451,1.57244,1.48022,0.72019,0.60414,0.65683,0.32742,1.77306,1.46523,1.45622,0.0095248,0.0095248,0.0095248
27,1550.91,1.83579,1.5577,1.4733,0.69946,0.59494,0.64811,0.31856,1.79361,1.48766,1.47628,0.009505,0.009505,0.009505
28,1608.07,1.84498,1.55615,1.47674,0.72024,0.6127,0.66796,0.34115,1.73805,1.44883,1.44782,0.0094852,0.0094852,0.0094852
29,1665.9,1.80691,1.51914,1.46269,0.70596,0.60761,0.66593,0.3287,1.77528,1.46574,1.47212,0.0094654,0.0094654,0.0094654
30,1723.3,1.81127,1.51302,1.45694,0.72789,0.61731,0.67269,0.33419,1.73666,1.46028,1.43689,0.0094456,0.0094456,0.0094456
31,1780.7,1.809,1.50656,1.45409,0.70339,0.64017,0.69096,0.34989,1.73707,1.41804,1.44207,0.0094258,0.0094258,0.0094258
32,1838.26,1.79363,1.48622,1.44455,0.7313,0.60385,0.6783,0.34422,1.73877,1.43201,1.46057,0.009406,0.009406,0.009406
33,1895.69,1.80314,1.48692,1.44543,0.72804,0.6199,0.66763,0.34231,1.74373,1.42998,1.45736,0.0093862,0.0093862,0.0093862
34,1953.11,1.78246,1.47452,1.43978,0.7243,0.61054,0.67531,0.33358,1.72011,1.42425,1.42201,0.0093664,0.0093664,0.0093664
35,2010.53,1.7954,1.47427,1.44149,0.74612,0.62479,0.69886,0.35224,1.74228,1.35031,1.44728,0.0093466,0.0093466,0.0093466
36,2068.2,1.76727,1.43976,1.43115,0.75603,0.64367,0.70913,0.35293,1.70367,1.38171,1.42357,0.0093268,0.0093268,0.0093268
37,2125.74,1.76485,1.44266,1.4301,0.76041,0.63306,0.70676,0.35678,1.72452,1.37207,1.4408,0.009307,0.009307,0.009307
38,2183.06,1.77288,1.44458,1.43177,0.7452,0.64136,0.70136,0.34999,1.72419,1.33295,1.42927,0.0092872,0.0092872,0.0092872
39,2240.34,1.75327,1.41119,1.427,0.72593,0.66948,0.72213,0.37375,1.70653,1.31935,1.42199,0.0092674,0.0092674,0.0092674
40,2298.28,1.76228,1.42769,1.41989,0.74519,0.64519,0.72562,0.36632,1.725,1.30519,1.43291,0.0092476,0.0092476,0.0092476
41,2355.56,1.75921,1.4145,1.42746,0.74026,0.67331,0.71671,0.36647,1.71654,1.3288,1.44239,0.0092278,0.0092278,0.0092278
42,2414.52,1.74485,1.41056,1.42212,0.75652,0.66474,0.71205,0.3649,1.70392,1.32454,1.43785,0.009208,0.009208,0.009208
43,2471.71,1.73444,1.38359,1.41935,0.7545,0.67807,0.73332,0.38325,1.70208,1.30093,1.41681,0.0091882,0.0091882,0.0091882
44,2529.19,1.74111,1.39039,1.41678,0.80347,0.64579,0.7364,0.38251,1.679,1.3047,1.40416,0.0091684,0.0091684,0.0091684
45,2586.76,1.73865,1.38165,1.41047,0.75194,0.69158,0.73586,0.38571,1.68018,1.29459,1.41246,0.0091486,0.0091486,0.0091486
46,2644.26,1.73415,1.36462,1.40461,0.76462,0.6711,0.73076,0.37996,1.68145,1.34857,1.40937,0.0091288,0.0091288,0.0091288
47,2701.55,1.71989,1.36532,1.39851,0.75088,0.67889,0.7369,0.3861,1.66751,1.29274,1.39638,0.009109,0.009109,0.009109
48,2758.45,1.72633,1.36181,1.40332,0.78666,0.66943,0.74616,0.40249,1.65789,1.27459,1.39241,0.0090892,0.0090892,0.0090892
49,2815.66,1.73342,1.3617,1.40212,0.77579,0.69275,0.74625,0.39461,1.67737,1.27394,1.4137,0.0090694,0.0090694,0.0090694
50,2872.95,1.71675,1.33084,1.3945,0.76382,0.66756,0.74029,0.39664,1.65286,1.24567,1.39539,0.0090496,0.0090496,0.0090496
51,2930.16,1.72215,1.34045,1.3944,0.78604,0.70309,0.7611,0.40187,1.65125,1.22886,1.39163,0.0090298,0.0090298,0.0090298
52,2987.54,1.7001,1.32229,1.3867,0.7938,0.65905,0.7492,0.4002,1.6674,1.23176,1.39677,0.00901,0.00901,0.00901
53,3044.86,1.69683,1.31408,1.38076,0.76766,0.69291,0.75335,0.39929,1.66599,1.24158,1.4021,0.0089902,0.0089902,0.0089902
54,3102.09,1.69779,1.31315,1.38503,0.78134,0.70376,0.75996,0.40795,1.65017,1.22267,1.38939,0.0089704,0.0089704,0.0089704
55,3159.88,1.6974,1.30412,1.39231,0.76823,0.67721,0.7472,0.40027,1.6582,1.23162,1.40122,0.0089506,0.0089506,0.0089506
56,3217.35,1.6974,1.30104,1.38464,0.79398,0.6972,0.76801,0.41687,1.63969,1.20455,1.38522,0.0089308,0.0089308,0.0089308
57,3275,1.69913,1.29273,1.38015,0.79612,0.70707,0.76585,0.41099,1.65625,1.20821,1.38864,0.008911,0.008911,0.008911
58,3332.25,1.68944,1.28648,1.38459,0.7641,0.70629,0.7566,0.41166,1.63689,1.23812,1.38706,0.0088912,0.0088912,0.0088912
59,3389.5,1.68846,1.28851,1.38029,0.80712,0.68769,0.77217,0.41696,1.64195,1.17761,1.38725,0.0088714,0.0088714,0.0088714
60,3446.89,1.68254,1.2762,1.36907,0.76635,0.72689,0.76768,0.40491,1.63616,1.22023,1.38927,0.0088516,0.0088516,0.0088516
61,3504.21,1.67608,1.27674,1.3674,0.81464,0.70814,0.78204,0.423,1.62786,1.1829,1.36522,0.0088318,0.0088318,0.0088318
62,3561.6,1.67009,1.26526,1.36136,0.80635,0.70714,0.77837,0.41859,1.62683,1.17499,1.37517,0.008812,0.008812,0.008812
63,3619.14,1.6711,1.26932,1.36839,0.80671,0.70938,0.78062,0.42906,1.62308,1.16778,1.3755,0.0087922,0.0087922,0.0087922
64,3676.45,1.6523,1.25081,1.36331,0.8116,0.70047,0.78136,0.42689,1.6149,1.18267,1.36778,0.0087724,0.0087724,0.0087724
65,3734.1,1.66109,1.25587,1.36767,0.78825,0.73169,0.77921,0.42049,1.61465,1.16074,1.37026,0.0087526,0.0087526,0.0087526
66,3791.78,1.65002,1.23528,1.35928,0.77842,0.72315,0.78339,0.42828,1.61607,1.14994,1.36188,0.0087328,0.0087328,0.0087328
67,3849.59,1.65488,1.24817,1.35575,0.79225,0.72633,0.77537,0.42499,1.61601,1.16295,1.37343,0.008713,0.008713,0.008713
68,3906.69,1.66471,1.2414,1.36117,0.81611,0.71989,0.78152,0.42396,1.60976,1.16419,1.35983,0.0086932,0.0086932,0.0086932
69,3964.08,1.64493,1.23097,1.36002,0.79315,0.7315,0.78567,0.43134,1.59867,1.1564,1.35602,0.0086734,0.0086734,0.0086734
70,4021.45,1.63934,1.21801,1.34959,0.80249,0.71032,0.78833,0.43214,1.61207,1.13494,1.36463,0.0086536,0.0086536,0.0086536
71,4078.99,1.63645,1.22588,1.35125,0.81193,0.72934,0.78538,0.43449,1.60251,1.12763,1.35582,0.0086338,0.0086338,0.0086338
72,4136.48,1.63471,1.22253,1.34619,0.79784,0.72231,0.78584,0.43027,1.59859,1.12532,1.35694,0.008614,0.008614,0.008614
73,4193.73,1.63422,1.22154,1.35117,0.81244,0.71741,0.78658,0.42534,1.59415,1.14666,1.35533,0.0085942,0.0085942,0.0085942
74,4251.06,1.6392,1.22185,1.35193,0.79874,0.72403,0.7856,0.4331,1.60006,1.12559,1.35928,0.0085744,0.0085744,0.0085744
75,4308.49,1.63303,1.20302,1.34759,0.78993,0.73773,0.79474,0.44027,1.58452,1.1227,1.34921,0.0085546,0.0085546,0.0085546
