epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4257,3.5345,4.09524,2.88953,0.01116,0.34686,0.02709,0.00715,3.3001,3.91016,2.64689,0.0670922,0.000332402,0.000332402
2,161.47,2.82268,3.01685,2.36572,0.30024,0.23911,0.18668,0.05673,2.68296,2.83172,2.25882,0.03409,0.000663539,0.000663539
3,231.7,2.47814,2.6127,2.09703,0.41053,0.33075,0.28882,0.10681,2.37819,2.38518,1.98208,0.00108558,0.000992475,0.000992475
4,295.411,2.30007,2.37471,1.93909,0.49592,0.36696,0.35547,0.13625,2.24726,2.18303,1.88414,0.0009901,0.0009901,0.0009901
5,360.691,2.18565,2.21541,1.83991,0.47774,0.36773,0.36607,0.153,2.16049,2.11756,1.80557,0.0009868,0.0009868,0.0009868
6,424.862,2.12154,2.12894,1.77151,0.48525,0.391,0.3907,0.1696,2.09286,2.06697,1.7713,0.0009835,0.0009835,0.0009835
7,489.266,2.09282,2.04733,1.74509,0.52636,0.44479,0.4598,0.2012,2.06889,1.90561,1.7328,0.0009802,0.0009802,0.0009802
8,553.475,2.03504,1.97099,1.6983,0.51605,0.46037,0.45371,0.20162,1.99567,1.83447,1.66131,0.0009769,0.0009769,0.0009769
9,617.23,2.00521,1.92431,1.67578,0.62606,0.49539,0.52862,0.23725,1.93816,1.7368,1.65496,0.0009736,0.0009736,0.0009736
10,683.276,1.96793,1.89677,1.65465,0.59285,0.46379,0.51008,0.22675,1.93886,1.84037,1.63767,0.0009703,0.0009703,0.0009703
11,745.852,1.9526,1.8356,1.64157,0.6122,0.5085,0.54401,0.24586,1.93086,1.74777,1.63126,0.000967,0.000967,0.000967
12,809.068,1.93571,1.80312,1.6092,0.62356,0.52814,0.54745,0.24341,1.86879,1.75904,1.59482,0.0009637,0.0009637,0.0009637
13,871.365,1.93049,1.78762,1.60269,0.60013,0.51156,0.5217,0.24296,1.89165,1.73399,1.61364,0.0009604,0.0009604,0.0009604
14,933.202,1.89229,1.74683,1.5814,0.69633,0.52776,0.59893,0.28012,1.87154,1.69324,1.59891,0.0009571,0.0009571,0.0009571
15,995.565,1.88015,1.70609,1.57896,0.68571,0.54199,0.58262,0.2743,1.90631,1.71792,1.58652,0.0009538,0.0009538,0.0009538
16,1056.88,1.86784,1.68867,1.56871,0.68873,0.52862,0.58985,0.27656,1.8743,1.65355,1.59375,0.0009505,0.0009505,0.0009505
17,1118.31,1.85172,1.67618,1.55596,0.70494,0.54439,0.60866,0.27725,1.88869,1.62914,1.59899,0.0009472,0.0009472,0.0009472
18,1180.26,1.84579,1.65804,1.54919,0.67912,0.54643,0.61402,0.29424,1.82527,1.57895,1.52758,0.0009439,0.0009439,0.0009439
19,1241.43,1.85018,1.63959,1.5485,0.66494,0.55016,0.62256,0.29612,1.84329,1.57504,1.51071,0.0009406,0.0009406,0.0009406
20,1301.3,1.83525,1.60386,1.52157,0.72666,0.56955,0.63957,0.31703,1.813,1.53859,1.52295,0.0009373,0.0009373,0.0009373
21,1360.68,1.81888,1.59962,1.50665,0.68429,0.60923,0.65101,0.31832,1.78797,1.51287,1.51442,0.000934,0.000934,0.000934
22,1419.08,1.81547,1.58639,1.51712,0.7074,0.59889,0.65022,0.32617,1.77458,1.49927,1.50315,0.0009307,0.0009307,0.0009307
23,1476.26,1.80539,1.57356,1.51481,0.71548,0.57804,0.65951,0.33961,1.78252,1.487,1.50903,0.0009274,0.0009274,0.0009274
24,1532.96,1.78456,1.53593,1.49397,0.69092,0.6021,0.64776,0.32164,1.76669,1.48175,1.49097,0.0009241,0.0009241,0.0009241
25,1591.59,1.79668,1.5244,1.49847,0.71192,0.60192,0.65366,0.3305,1.75369,1.45316,1.4753,0.0009208,0.0009208,0.0009208
26,1647.68,1.77008,1.5234,1.48442,0.74729,0.60763,0.68281,0.34322,1.76569,1.43945,1.48779,0.0009175,0.0009175,0.0009175
27,1705.43,1.78551,1.50649,1.48001,0.71866,0.61726,0.67597,0.34554,1.76745,1.442,1.48029,0.0009142,0.0009142,0.0009142
28,1763.82,1.76742,1.50052,1.48223,0.76298,0.6222,0.71136,0.35057,1.75071,1.3808,1.46655,0.0009109,0.0009109,0.0009109
29,1821.49,1.76175,1.50417,1.47509,0.76637,0.58634,0.68056,0.33338,1.75415,1.47389,1.48073,0.0009076,0.0009076,0.0009076
30,1877.81,1.76567,1.48636,1.47101,0.7638,0.60145,0.68964,0.35216,1.74228,1.4382,1.46365,0.0009043,0.0009043,0.0009043
31,1936.64,1.75294,1.47202,1.47158,0.72783,0.62254,0.68059,0.34613,1.76495,1.42128,1.48832,0.000901,0.000901,0.000901
32,1992.98,1.74183,1.45241,1.45904,0.75261,0.61324,0.68969,0.35399,1.7624,1.40849,1.47029,0.0008977,0.0008977,0.0008977
33,2050.6,1.75796,1.46364,1.45959,0.72988,0.63934,0.6925,0.35443,1.75648,1.38156,1.46881,0.0008944,0.0008944,0.0008944
34,2107.73,1.73025,1.4332,1.44797,0.76982,0.62643,0.7075,0.365,1.73831,1.40252,1.46655,0.0008911,0.0008911,0.0008911
35,2166.08,1.73389,1.44521,1.44853,0.75997,0.63033,0.70152,0.36444,1.72889,1.3713,1.46515,0.0008878,0.0008878,0.0008878
36,2222.43,1.72157,1.40573,1.43833,0.74779,0.66454,0.70845,0.37073,1.72624,1.34226,1.46624,0.0008845,0.0008845,0.0008845
37,2279.04,1.72542,1.40552,1.43338,0.77354,0.63576,0.7171,0.37589,1.72011,1.32635,1.44472,0.0008812,0.0008812,0.0008812
38,2337.22,1.71126,1.37097,1.42572,0.77636,0.67124,0.73371,0.38245,1.71501,1.32108,1.44366,0.0008779,0.0008779,0.0008779
39,2393.23,1.71241,1.39546,1.43267,0.75816,0.65725,0.73194,0.3811,1.71232,1.32849,1.43371,0.0008746,0.0008746,0.0008746
40,2451.31,1.70467,1.38815,1.42326,0.78672,0.62722,0.72477,0.37206,1.73551,1.32922,1.43737,0.0008713,0.0008713,0.0008713
41,2508.13,1.6965,1.36736,1.42143,0.76707,0.65404,0.72172,0.37621,1.70621,1.32441,1.42112,0.000868,0.000868,0.000868
42,2564.23,1.70739,1.37593,1.42119,0.77014,0.67498,0.73539,0.38759,1.68666,1.28931,1.42358,0.0008647,0.0008647,0.0008647
43,2621.37,1.69431,1.34552,1.41512,0.77137,0.67824,0.7372,0.38864,1.70102,1.30524,1.43662,0.0008614,0.0008614,0.0008614
44,2679.4,1.69374,1.35107,1.41396,0.80035,0.656,0.73446,0.39235,1.68768,1.26707,1.40973,0.0008581,0.0008581,0.0008581
45,2736.4,1.69634,1.34177,1.41238,0.75532,0.67375,0.72991,0.39006,1.70042,1.27369,1.42538,0.0008548,0.0008548,0.0008548
46,2793.09,1.67884,1.33444,1.40142,0.78434,0.68417,0.74731,0.39592,1.68499,1.25349,1.41639,0.0008515,0.0008515,0.0008515
47,2851.53,1.68102,1.31784,1.40654,0.80077,0.66894,0.7477,0.40563,1.66912,1.24171,1.40696,0.0008482,0.0008482,0.0008482
48,2908.81,1.66457,1.31827,1.40345,0.81196,0.67873,0.76237,0.40831,1.64778,1.2339,1.39599,0.0008449,0.0008449,0.0008449
49,2966.56,1.67023,1.31172,1.40502,0.78132,0.67642,0.75203,0.41189,1.6626,1.24027,1.39762,0.0008416,0.0008416,0.0008416
50,3024.29,1.67318,1.30468,1.39791,0.8048,0.68221,0.7579,0.40872,1.67007,1.24742,1.40009,0.0008383,0.0008383,0.0008383
51,3080.82,1.66325,1.30188,1.39317,0.81115,0.67867,0.76498,0.41335,1.65273,1.22563,1.40761,0.000835,0.000835,0.000835
52,3138.7,1.65049,1.2779,1.39012,0.81024,0.69647,0.7685,0.41494,1.66701,1.20907,1.39896,0.0008317,0.0008317,0.0008317
53,3196.18,1.66534,1.28666,1.3955,0.8251,0.68555,0.76965,0.42165,1.65274,1.2251,1.40162,0.0008284,0.0008284,0.0008284
54,3252.1,1.64986,1.28427,1.38812,0.79605,0.69859,0.77318,0.41637,1.64404,1.2021,1.388,0.0008251,0.0008251,0.0008251
55,3307.46,1.65076,1.28535,1.38599,0.80365,0.68875,0.76896,0.42225,1.63506,1.20041,1.3844,0.0008218,0.0008218,0.0008218
56,3366.58,1.66174,1.29034,1.38375,0.80504,0.705,0.76839,0.42127,1.63349,1.20853,1.37606,0.0008185,0.0008185,0.0008185
57,3424.38,1.64348,1.27119,1.38124,0.82955,0.70335,0.77645,0.43045,1.61889,1.18408,1.3714,0.0008152,0.0008152,0.0008152
58,3481.1,1.6216,1.24181,1.38064,0.80407,0.69776,0.77416,0.43105,1.61667,1.16622,1.38314,0.0008119,0.0008119,0.0008119
59,3537.46,1.64052,1.26159,1.37645,0.81258,0.69792,0.77693,0.43197,1.62381,1.16612,1.3743,0.0008086,0.0008086,0.0008086
60,3594.49,1.62762,1.24199,1.36412,0.81252,0.71377,0.78243,0.43657,1.60751,1.16402,1.35934,0.0008053,0.0008053,0.0008053
61,3652.52,1.63064,1.2481,1.37045,0.80519,0.70501,0.78082,0.43743,1.59895,1.16264,1.35737,0.000802,0.000802,0.000802
62,3708.65,1.62079,1.25107,1.36829,0.78544,0.72813,0.78021,0.43307,1.60048,1.15433,1.3654,0.0007987,0.0007987,0.0007987
63,3771.3,1.63085,1.248,1.36863,0.82024,0.73128,0.79647,0.4401,1.60502,1.15428,1.36109,0.0007954,0.0007954,0.0007954
64,3828.57,1.6095,1.22282,1.34838,0.81877,0.73003,0.79081,0.44097,1.61124,1.13271,1.36656,0.0007921,0.0007921,0.0007921
65,3886.46,1.62245,1.21955,1.36366,0.81318,0.71815,0.79463,0.43791,1.62597,1.13302,1.36762,0.0007888,0.0007888,0.0007888
